Year,Category,EAN Code,Month,Channel,Customer ID,Customer Name,Units
2024,Babies,501234000001,1,Modern Trade,MT-UK-001,MegaMart UK,13267.8
2024,Babies,501234000001,1,Modern Trade,MT-UK-002,FreshValue Supermarkets,7371
2024,Babies,501234000001,1,Modern Trade,MT-UK-003,SmartShop Stores,4422.6
2024,Babies,501234000001,1,Modern Trade,MT-UK-004,PrimeGrocer Chain,4422.6
2024,Babies,501234000001,1,Modern Trade,MT-IE-001,EireMarket Group,0
2024,Babies,501234000001,1,Modern Trade,MT-NL-001,HollandMart BV,0
2024,Babies,501234000001,1,Hard Discounter,HD-UK-001,ValueFirst Discount,6804
2024,Babies,501234000001,1,Hard Discounter,HD-UK-002,BudgetMart Stores,0
2024,Babies,501234000001,1,Hard Discounter,HD-IE-001,EuroSave Ireland,0
2024,Babies,501234000001,1,Hard Discounter,HD-NL-001,KoopSmart Nederland,0
2024,Babies,501234000001,1,Health & Beauty,HB-UK-001,VitaPharm UK,2721.6
2024,Babies,501234000001,1,Health & Beauty,HB-UK-002,BeautyZone Retail,1814.4
2024,Babies,501234000001,1,Health & Beauty,HB-UK-003,WellCare Pharmacies,0
2024,Babies,501234000001,1,Health & Beauty,HB-IE-001,HealthFirst Ireland,0
2024,Babies,501234000001,1,Health & Beauty,HB-NL-001,Gezondheid Apotheek,0
2024,Babies,501234000001,1,E-Commerce,EC-UK-001,ShopOnline UK,2721.6
2024,Babies,501234000001,1,E-Commerce,EC-UK-002,FreshDirect Online,1360.8
2024,Babies,501234000001,1,E-Commerce,EC-DTC-001,NovaPure Direct (DTC),453.6
2024,Babies,501234000001,1,E-Commerce,EC-IE-001,IrishShop Online,0
2024,Babies,501234000001,1,E-Commerce,EC-NL-001,DutchMarket Digital,0
2024,Babies,501234000001,2,Modern Trade,MT-UK-001,MegaMart UK,11372.4
2024,Babies,501234000001,2,Modern Trade,MT-UK-002,FreshValue Supermarkets,6318
2024,Babies,501234000001,2,Modern Trade,MT-UK-003,SmartShop Stores,3790.8
2024,Babies,501234000001,2,Modern Trade,MT-UK-004,PrimeGrocer Chain,3790.8
2024,Babies,501234000001,2,Modern Trade,MT-IE-001,EireMarket Group,0
2024,Babies,501234000001,2,Modern Trade,MT-NL-001,HollandMart BV,0
2024,Babies,501234000001,2,Hard Discounter,HD-UK-001,ValueFirst Discount,5832
2024,Babies,501234000001,2,Hard Discounter,HD-UK-002,BudgetMart Stores,0
2024,Babies,501234000001,2,Hard Discounter,HD-IE-001,EuroSave Ireland,0
2024,Babies,501234000001,2,Hard Discounter,HD-NL-001,KoopSmart Nederland,0
2024,Babies,501234000001,2,Health & Beauty,HB-UK-001,VitaPharm UK,2332.8
2024,Babies,501234000001,2,Health & Beauty,HB-UK-002,BeautyZone Retail,1555.2
2024,Babies,501234000001,2,Health & Beauty,HB-UK-003,WellCare Pharmacies,0
